,영업상태코드,소재지면적,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),lon,lat,도시
0,1,377.53,서울특별시 중구 퇴계로10길 20-8 4층 (회현동1가),대영호텔,여관업,198189.576573592,450677.440130558,126.97740814926208,37.5583697515946,서울특별시
1,1,1584.84,서울특별시 종로구 수표로22길 38 엠앤럭키 호텔(M&LUCKY HOTEL) 지하1~지상10층 (돈의동),엠앤럭키호텔,일반호텔,199127.338507049,452117.435900683,126.98801960396918,37.57134538212486,서울특별시
2,1,829.2,서울특별시 영등포구 선유로24길 3-3 가온 (양평동1가),가온,관광호텔,190266.579204407,446769.272182126,126.8877903838238,37.52310735541017,서울특별시
3,1,239.68,서울특별시 중구 다산로44길 3-5 (신당동),유니온 모텔,여관업,201460.09025694,451436.407170202,127.01442423801737,37.56520881322506,서울특별시
4,1,1987.57,서울특별시 강남구 테헤란로29길 12 1~10층 (역삼동 에이치에비뉴호텔 역삼),에이치 에비뉴호텔역삼,관광호텔,203355.625966004,444476.290241009,127.03584809629417,37.50249380109111,서울특별시
6,1,667.04,서울특별시 서대문구 연세로2길 15-4 (창천동),플렉스(FLEX),여관업,194442.427547721,450440.740130342,126.93500092514249,37.556221872412,서울특별시
7,1,875.2,서울특별시 강서구 화곡로42길 3-6 (화곡동592),랑뷰티크호텔(RANG BEAUTIQUE HOTEL),여관업,186329.902953294,449417.205159512,126.8432079338951,37.546914783506146,서울특별시
8,1,544.75,서울특별시 성북구 동소문로8길 23 (삼선동4가),메이호텔,여관업,200842.852191637,454067.72085058,127.00744068651798,37.58891733281289,서울특별시
9,1,1996.72,서울특별시 송파구 백제고분로7길 23-6 (잠실동),호텔포레스타,관광호텔,207148.374688088,445418.562120928,127.07875027093402,37.51096234006443,서울특별시
10,1,10655.66,서울특별시 서대문구 충정로 76 (미근동),신라스테이 서대문,관광호텔,197062.406516,451739.317426,126.96464684991486,37.56793416627117,서울특별시
12,1,77.0,서울특별시 영등포구 시흥대로181길 7 (대림동),서광여관,여인숙업,191638.661895466,443112.689324586,126.90335372408737,37.4901752182702,서울특별시
13,1,1519.12,서울특별시 강북구 덕릉로 69 (수유동),메리엘,여관업,201815.959210139,459164.803070749,127.01847070048129,37.63483976432402,서울특별시
14,1,378.98,서울특별시 은평구 통일로65길 24 (대조동),티파니,여관업,193609.707450556,456302.641031305,126.92552511694346,37.60903128363048,서울특별시
15,1,5558.67,서울특별시 중구 창경궁로1길 14 3층~15층 (충무로4가),위코스테이 명동,숙박업(생활),199717.38918352,451178.572699022,126.99469921450029,37.5628867444799,서울특별시
16,1,217.8,서울특별시 중구 동호로24길 42 (장충동1가),양미모텔,여관업,200432.032997409,450987.921192746,127.00278772117812,37.5611689870598,서울특별시
17,1,636.32,서울특별시 금천구 시흥대로123길 44 (독산동),하얀장,여관업,190734.125570838,441028.013466643,126.89315219916378,37.471383595468865,서울특별시
19,1,907.0,서울특별시 동대문구 하정로 48 (신설동),M(엠)모텔,여관업,202315.171251745,452555.766177658,127.02410609460121,37.575292410667934,서울특별시
20,1,1658.09,서울특별시 강남구 언주로87길 41 (역삼동),호텔벤,여관업,203456.622708194,444279.795251627,127.0369893873468,37.50072301914196,서울특별시
22,1,115.06,서울특별시 강북구 도봉로 34-7 (미아동),붐(BOOM)모텔,여관업,202637.165705533,456666.32961113,127.02776558552922,37.612327095893974,서울특별시
23,1,61.98,서울특별시 강북구 도봉로53길 24-2 (미아동),수정,여관업,202086.674996212,458270.064183957,127.02153523919361,37.62677780308981,서울특별시
24,1,401.64,서울특별시 용산구 서빙고로 295 (동빙고동),어니언(onion),여관업,199580.516113924,446542.656920487,126.99315308926928,37.521117438691164,서울특별시
